variant_chr,magi_num,seed_num
"Flat, then taper",46750,0
"Flat, then taper",47000,0
"Flat, then taper",47250,0
"Flat, then taper",47500,0
"Flat, then taper",47750,0
"Flat, then taper",48000,0
"Flat, then taper",48250,0
"Flat, then taper",48500,0
"Flat, then taper",48750,0
"Flat, then taper",49000,0
"Flat, then taper",49250,0
"Flat, then taper",49500,0
"Flat, then taper",49750,0
"Flat, then taper",50000,0
"Flat, then taper",50250,0
"Flat, then taper",50500,0
"Flat, then taper",50750,0
"Flat, then taper",51000,0
"Flat, then taper",51250,0
"Flat, then taper",51500,0
"Flat, then taper",51750,0
"Flat, then taper",52000,0
"Flat, then taper",52250,0
"Flat, then taper",52500,0
"Flat, then taper",52750,0
"Flat, then taper",53000,0
"Flat, then taper",53250,0
"Flat, then taper",53500,0
"Flat, then taper",53750,0
"Flat, then taper",54000,0
Extended taper,0,100
Extended taper,250,100
Extended taper,500,100
Extended taper,750,100
Extended taper,1000,100
Extended taper,1250,100
Extended taper,1500,100
Extended taper,1750,100
Extended taper,2000,100
Extended taper,2250,100
Extended taper,2500,100
Extended taper,2750,100
Extended taper,3000,100
Extended taper,3250,100
Extended taper,3500,100
Extended taper,3750,100
Extended taper,4000,100
Extended taper,4250,100
Extended taper,4500,100
Extended taper,4750,100
Extended taper,5000,100
Extended taper,5250,100
Extended taper,5500,100
Extended taper,5750,100
Extended taper,6000,100
Extended taper,6250,100
Extended taper,6500,100
Extended taper,6750,100
Extended taper,7000,100
Extended taper,7250,100
Extended taper,7500,100
Extended taper,7750,100
Extended taper,8000,100
Extended taper,8250,100
Extended taper,8500,100
Extended taper,8750,100
Extended taper,9000,100
Extended taper,9250,100
Extended taper,9500,100
Extended taper,9750,100
Extended taper,10000,100
Extended taper,10250,100
Extended taper,10500,100
Extended taper,10750,100
Extended taper,11000,100
Extended taper,11250,100
Extended taper,11500,100
Extended taper,11750,100
Extended taper,12000,100
Extended taper,12250,100
Extended taper,12500,100
Extended taper,12750,100
Extended taper,13000,100
Extended taper,13250,100
Extended taper,13500,100
Extended taper,13750,100
Extended taper,14000,100
Extended taper,14250,100
Extended taper,14500,100
Extended taper,14750,100
Extended taper,15000,100
Extended taper,15250,100
Extended taper,15500,100
Extended taper,15750,100
Extended taper,16000,100
Extended taper,16250,100
Extended taper,16500,100
Extended taper,16750,100
Extended taper,17000,100
Extended taper,17250,100
Extended taper,17500,100
Extended taper,17750,100
Extended taper,18000,100
Extended taper,18250,100
Extended taper,18500,100
Extended taper,18750,100
Extended taper,19000,100
Extended taper,19250,100
Extended taper,19500,100
Extended taper,19750,100
Extended taper,20000,100
Extended taper,20250,100
Extended taper,20500,100
Extended taper,20750,100
Extended taper,21000,100
Extended taper,21250,100
Extended taper,21500,100
Extended taper,21750,100
Extended taper,22000,100
Extended taper,22250,100
Extended taper,22500,100
Extended taper,22750,100
Extended taper,23000,100
Extended taper,23250,100
Extended taper,23500,100
Extended taper,23750,100
Extended taper,24000,100
Extended taper,24250,100
Extended taper,24500,100
Extended taper,24750,100
Extended taper,25000,100
Extended taper,25250,100
Extended taper,25500,100
Extended taper,25750,100
Extended taper,26000,100
Extended taper,26250,100
Extended taper,26500,100
Extended taper,26750,100
Extended taper,27000,100
Extended taper,27250,100
Extended taper,27500,100
Extended taper,27750,100
Extended taper,28000,100
Extended taper,28250,100
Extended taper,28500,100
Extended taper,28750,100
Extended taper,29000,100
Extended taper,29250,100
Extended taper,29500,100
Extended taper,29750,100
Extended taper,30000,100
Extended taper,30250,100
Extended taper,30500,100
Extended taper,30750,100
Extended taper,31000,100
Extended taper,31250,100
Extended taper,31500,100
Extended taper,31750,100
Extended taper,32000,100
Extended taper,32250,100
Extended taper,32500,100
